"id";"name"
"39";"Agrar"
"4";"Automobil"
"2";"Banken"
"7";"Bau"
"13";"Berufsgenossenschaften"
"43";"Bildung"
"27";"Chemie"
"16";"Dienstleistungen"
"35";"Druckindustrie"
"11";"Elektro"
"28";"Energie"
"40";"Forschung"
"5";"Gesundheit"
"19";"Handel"
"25";"IT"
"22";"IT Bau"
"21";"IT Handel"
"23";"IT Medien"
"17";"IT Sonstiges"
"9";"Lebensmittel"
"29";"Logistik"
"3";"Luftfahrt"
"18";"Maschinenbau"
"33";"Medien"
"8";"Medizintechnik"
"38";"Metall"
"10";"Mineralöl"
"31";"Öffentl. Dienst u. ä."
"15";"Öffentliche Einrichtungen"
"32";"Papier"
"12";"Pharma"
"41";"Schiffahrt"
"26";"Software"
"20";"Sonstiges"
"37";"Soziales"
"1";"Telekommunikation"
"42";"Tourismus"
"36";"Umwelt"
"14";"Verbände"
"30";"Verkehr"
"6";"Versicherung"
